rank,repo,tier,selection_score,linked_elf,dwarf_elf,ii,dwarf_subprogram_sample,revision,build_system,reason
1,chriskohlhoff/asio,A,6655,123,123,151,6935,8806a6803cde7054c3049d3666d3ec36786568c5,autotools,oracle-ready: ELF + DWARF + .ii
2,luau-lang/luau,A,6270,9,9,312,350795,7d5f73364fdbbaa984fa545071630eba73cfea98,cmake,oracle-ready: ELF + DWARF + .ii
3,microsoft/BitNet,A,6110,6,6,186,6311,0b341e582afbf9e1011f24744b554c96a3477eb5,cmake,oracle-ready: ELF + DWARF + .ii
4,oatpp/oatpp,A,6070,3,3,196,824274,f83d648fd82dc222ef88aabbafb68efbd7d7bf50,cmake,oracle-ready: ELF + DWARF + .ii
5,WebAssembly/wabt,A,5960,14,14,108,24497,e197d0b7bd3fe426f5963ae540f4426a1d49e89f,cmake,oracle-ready: ELF + DWARF + .ii
6,trapexit/mergerfs,A,5940,3,3,170,419480,515b0549ef615418df41ed3ffd993d036bc52e1f,make,oracle-ready: ELF + DWARF + .ii
7,harfbuzz/harfbuzz,A,5685,5,5,107,113215,d8c712f41c75fd4e407b944bf92f3ea1a0a10d52,cmake,oracle-ready: ELF + DWARF + .ii
8,catchorg/Catch2,A,5600,2,2,108,157338,02f8b5593a15cdec8558256e6f40a0c7fb5862d6,cmake,oracle-ready: ELF + DWARF + .ii
9,google/flatbuffers,A,5575,5,5,85,102527,b8431fbcd7a5c71817f314e18b332c0648554efa,cmake,oracle-ready: ELF + DWARF + .ii
10,ideawu/ssdb,A,5495,11,8,51,7524,f229ba277c7f7d0ca5a441c0c6fb3d1209af68e4,make,oracle-ready: ELF + DWARF + .ii
11,Slackadays/Clipboard,A,5350,3,3,52,231973,da607a6736605fe1e1b2aff629b913f4f342d5d8,cmake,oracle-ready: ELF + DWARF + .ii
12,BYVoid/OpenCC,A,5330,4,4,42,13545,c363a7ba51d487950982bd8a589211ffbfd95ba1,cmake,oracle-ready: ELF + DWARF + .ii
13,davisking/dlib,A,5330,2,2,54,156499,f28ef5001187a8742bd22ec1044e6179c00aeff2,cmake,oracle-ready: ELF + DWARF + .ii
14,mawww/kakoune,A,5325,1,1,59,277520,f16dba30002c4a18a247968ad4d12043cce018a8,make,oracle-ready: ELF + DWARF + .ii
15,jbeder/yaml-cpp,A,5295,4,4,35,6638,8eb618e889c003457d73f7c54777603835677ff4,cmake,oracle-ready: ELF + DWARF + .ii
16,ninja-build/ninja,A,5245,2,2,37,89763,e4a128055f7698522da6de2821ffe0761623f298,cmake,oracle-ready: ELF + DWARF + .ii
17,open-source-parsers/jsoncpp,A,5185,4,4,13,13135,3347a4b86bb914cb565f0cbda19c06e109513300,cmake,oracle-ready: ELF + DWARF + .ii
18,google/googletest,A,5140,4,4,4,9356,f840327b0f76408eafde2440af3b2f0a70662ea6,cmake,oracle-ready: ELF + DWARF + .ii
19,trojan-gfw/trojan,A,5115,1,1,17,102211,3e7bb9aecdc694f9bcae8d646fae395f773d60f8,cmake,oracle-ready: ELF + DWARF + .ii
20,gabime/spdlog,A,5100,2,2,8,54023,57cb5fb7a8ff30079751728234623230535a5c92,cmake,oracle-ready: ELF + DWARF + .ii
21,AGWA/git-crypt,A,5080,1,1,10,13712,8c7a90ff38fc9daf41e5f6ccb3f105ee82782231,make,oracle-ready: ELF + DWARF + .ii
22,electronicarts/EASTL,A,5080,1,1,10,8069,e323f67e5d93fdadcd44f7998069d804697b1945,cmake,oracle-ready: ELF + DWARF + .ii
23,ssloy/tinyrenderer,A,5080,2,2,4,6760,97eb7a480e762285899a93c5d21e70a79e60782e,cmake,oracle-ready: ELF + DWARF + .ii
24,kelektiv/node.bcrypt.js,A,5075,2,2,3,5806,24aa3c50a990db8cea4f545cd21b8740ea0364ea,make,oracle-ready: ELF + DWARF + .ii
25,google/snappy,A,3856,11,11,33,3361,2a6c78c781cb76ad191795449cb2267f33138150,cmake,oracle-ready: ELF + DWARF + .ii
26,microsoft/GSL,A,3762,17,17,17,3167,a16852b79452bdfa217381c6a5eab0b2975e2076,cmake,oracle-ready: ELF + DWARF + .ii
27,Tiiny-AI/PowerInfer,A,3665,39,39,44,2545,8bd56d69906c9d2dba4d3bf6899763401e01a9a4,cmake,oracle-ready: ELF + DWARF + .ii
28,google/leveldb,A,3559,11,11,70,2879,7ee830d02b623e8ffe0b95d59a74db1e58da04c5,cmake,oracle-ready: ELF + DWARF + .ii
